,Gm#,Date,,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,HomeGame
175,14,201404120,boxscore,ARI,,LAD,L,5,8,,4-10,5, 5.0,Greinke,Miley,Jansen,3:47,N,"38,374",--,,True
176,15,201404130,boxscore,ARI,,LAD,L,6,8,,4-11,5, 6.0,Haren,Cahill,Jansen,3:39,D,"31,757",---,,True
177,16,201404140,boxscore,ARI,,NYM,L,3,7,,4-12,5, 6.5,Wheeler,Collmenter,Torres,3:08,N,"18,099",----,,True
178,17,201404150,boxscore,ARI,,NYM,L,0,9,,4-13,5, 6.5,Mejia,Arroyo,,2:49,N,"21,969",-----,,True
179,18,201404160,boxscore,ARI,,NYM,L,2,5,,4-14,5, 7.5,Gee,McCarthy,,2:46,D,"19,673",------,,True
180,19,201404180,boxscore,ARI,@,LAD,W,4,2,12,5-14,5, 6.0,Thatcher,Perez,Cahill,4:13,N,"47,680",+,,False
181,20,201404190,boxscore,ARI,@,LAD,L,6,8,,5-15,5, 7.0,Haren,Bolsinger,Jansen,2:48,N,"48,541",-,,False
182,21,201404200,boxscore,ARI,@,LAD,L,1,4,,5-16,5, 8.0,Wright,Collmenter,Jansen,2:45,D,"37,447",--,,False
183,22,201404210,boxscore,ARI,@,CHC,L,1,5,,5-17,5, 8.0,Wood,Arroyo,,2:40,N,"32,439",---,,False
184,23,201404220,boxscore,ARI,@,CHC,L,2,9,,5-18,5, 8.0,Hammel,McCarthy,,3:05,N,"35,381",----,,False
185,24,201404230,boxscore,ARI,@,CHC,W,7,5,,6-18,5, 8.0,Cahill,Strop,Reed,3:11,D,"32,323",+,,False
186,25,201404240,boxscore,ARI,@,CHC,W,5,2,,7-18,5, 7.0,Bolsinger,Jackson,Reed,2:51,D,"33,085",++,,False
187,26,201404250,boxscore,ARI,,PHI,W,5,4,,8-18,5, 6.5,Collmenter,Hernandez,Reed,3:21,N,"28,168",+++,,True
188,27,201404260,boxscore,ARI,,PHI,L,5,6,,8-19,5, 7.5,Manship,Cahill,Papelbon,3:05,N,"35,462",-,,True
189,28,201404270,boxscore,ARI,,PHI,L,0,2,,8-20,5, 8.5,Burnett,McCarthy,Papelbon,2:37,D,"30,022",--,,True
190,29,201404280,boxscore,ARI,,COL,L,5,8,,8-21,5, 8.5,Morales,Miley,Hawkins,3:03,N,"17,127",---,,True
